departamento,year,spi3_mean,spi3_median,spi3_min,spi3_max,spi3_std,n_sequia_e9,n_exceso_e9,spi3_floracion,spi3_desarrollo,spi3_cosecha,spi3_mean_lag1,spi3_min_lag1,spi3_median_lag1,n_sequia_e9_lag1,n_exceso_e9_lag1,spi3_floracion_lag1,spi3_desarrollo_lag1,spi3_cosecha_lag1
Narino,2000,-1.132106250166758,-1.2543020906869695,-2.1093169021164746,0.06171247348306714,0.634614997975198,8,0,-0.96894885783897,-0.9990900353841531,-1.4282798572771518,,,,,,,,
Narino,2001,-1.1545118924339466,-1.0477653042150246,-2.2706903893921293,-0.45444033055248806,0.5251257799405369,6,0,-1.5762828857049482,-1.2524433861998243,-0.6348094053970676,-1.132106250166758,-2.1093169021164746,-1.2543020906869695,8.0,0.0,-0.96894885783897,-0.9990900353841531,-1.4282798572771518
Narino,2002,-0.5257269408544872,-0.40686123610889724,-1.7649998756989436,0.22134324778186482,0.6415298878527556,3,0,-0.10224100444393708,-1.1700553626034473,-0.3048844555160771,-1.1545118924339466,-2.2706903893921293,-1.0477653042150246,6.0,0.0,-1.5762828857049482,-1.2524433861998243,-0.6348094053970676
Narino,2003,-0.6524851971684761,-0.5412061349150692,-1.6071731163617327,0.18647094878906864,0.4742472313997087,3,0,-0.824284745718662,-0.727473035637842,-0.40569781014892403,-0.5257269408544872,-1.7649998756989436,-0.40686123610889724,3.0,0.0,-0.10224100444393708,-1.1700553626034473,-0.3048844555160771
Narino,2004,-0.566659328471152,-0.5436809115858701,-1.4726568873499986,0.4037973882769898,0.5526011078492172,3,0,-0.6362183279718533,-0.5478680972919036,-0.515891560149699,-0.6524851971684761,-1.6071731163617327,-0.5412061349150692,3.0,0.0,-0.824284745718662,-0.727473035637842,-0.40569781014892403
Narino,2005,-0.5415572160762009,-0.4398071024419945,-1.620205106312814,0.27914117170444586,0.6026820843298799,3,0,-0.39959219701342324,-1.0340330086058882,-0.1910464426092913,-0.566659328471152,-1.4726568873499986,-0.5436809115858701,3.0,0.0,-0.6362183279718533,-0.5478680972919036,-0.515891560149699
Narino,2006,-0.28623262586586967,-0.180142258772103,-1.0100382312875251,0.37123305433206544,0.4959925599638934,1,0,0.03999392602446541,-0.8385866049863143,-0.060105198635760186,-0.5415572160762009,-1.620205106312814,-0.4398071024419945,3.0,0.0,-0.39959219701342324,-1.0340330086058882,-0.1910464426092913
Narino,2007,-0.2214412088417479,-0.25491248143818235,-1.0259086048726842,0.6399159905059914,0.49594492528054945,1,0,-0.19631231406225144,-0.3609924665595361,-0.10701884590345605,-0.28623262586586967,-1.0100382312875251,-0.180142258772103,1.0,0.0,0.03999392602446541,-0.8385866049863143,-0.060105198635760186
Narino,2008,-0.20927369409057364,-0.24322240326673308,-0.8445341919309396,0.49734917533820694,0.3961764287910454,0,0,0.0986810849332705,-0.4273152186150353,-0.2991869485899562,-0.2214412088417479,-1.0259086048726842,-0.25491248143818235,1.0,0.0,-0.19631231406225144,-0.3609924665595361,-0.10701884590345605
Narino,2009,-0.5983082896025987,-0.7282234015670619,-1.601336155540141,0.31351008293400917,0.6184407564599421,4,0,0.1489928391998557,-0.9633314010365223,-0.98058630697113,-0.20927369409057364,-0.8445341919309396,-0.24322240326673308,0.0,0.0,0.0986810849332705,-0.4273152186150353,-0.2991869485899562
Narino,2010,-0.27204409846056704,-0.11364038541385847,-1.077147633047893,0.3343160992221801,0.4888370703521054,1,0,-0.3053143774242063,-0.4141844972452943,-0.0966334207122005,-0.5983082896025987,-1.601336155540141,-0.7282234015670619,4.0,0.0,0.1489928391998557,-0.9633314010365223,-0.98058630697113
Narino,2011,-0.1423157003220121,-0.1019374436792669,-1.2262277606711187,0.7993300742956494,0.6017310098190295,1,0,0.2667470519155298,-0.634887612429453,-0.058806540452113094,-0.27204409846056704,-1.077147633047893,-0.11364038541385847,1.0,0.0,-0.3053143774242063,-0.4141844972452943,-0.0966334207122005
Narino,2012,-0.36227039472222483,-0.3706278721530915,-1.4147150912480646,0.4684643323370621,0.6289559195114108,3,0,0.3530002754830546,-0.862523336851281,-0.5772881227984482,-0.1423157003220121,-1.2262277606711187,-0.1019374436792669,1.0,0.0,0.2667470519155298,-0.634887612429453,-0.058806540452113094
