departamento,umbral_sequia_p10,umbral_exceso_p90,pct_meses_sequia,pct_meses_exceso,pct_total_activacion
Narino,-1.7071,0.194,12.0,12.0,24.0
Quindio,-2.2143,-0.1328,12.0,12.0,24.0
