departamento,year,rendimiento_kg_ha,anom_temp_mean_e9,area_cosechada_ha,area_sembrada_ha,enso_spi3dev,evi_max,evi_mean,evi_min,n_exceso_e9,n_exceso_e9_lag1,n_municipios,n_sequia_e9,n_sequia_e9_lag1,ndvi_max,ndvi_mean,ndvi_min,oni_max,oni_mean,oni_mean_lag1,oni_min,pct_area_cosechada,precio_cop_carga,precio_lag1,precio_lag2,precio_spi_int,produccion_t,roya_dummy,roya_interact,roya_shock,spi3_cosecha,spi3_cosecha_lag1,spi3_desarrollo,spi3_desarrollo_lag1,spi3_floracion,spi3_floracion_lag1,spi3_max,spi3_mean,spi3_mean_lag1,spi3_median,spi3_median_lag1,spi3_min,spi3_min_lag1,spi3_std,temp_sq_e9,tmax_mean_e9,tmedia_mean_e9
Narino,2007,1298.9492620303365,-0.6879074128955374,24459.0,28332.0,-0.020513338187053993,0.3989227852279099,0.3176235878402967,0.250882024715256,0,0.0,37,1,1.0,0.5880312931687999,0.4708708032891412,0.3813457203568814,0.66,-0.6075,0.07166666666666667,-1.6,0.8632994493858535,418925.22,592555.32,489962.82,-63414.58648035308,31771.0,0,-0.0,0.0,-0.10701884590345605,-0.060105198635760186,-0.3609924665595361,-0.8385866049863143,-0.19631231406225144,0.03999392602446541,0.6399159905059914,-0.2214412088417479,-0.28623262586586967,-0.25491248143818235,-0.180142258772103,-1.0259086048726842,-1.0100382312875251,0.49594492528054945,400.0,20.0,12.06
Narino,2007,1298.9492620303365,-1.4167271733962146,24459.0,28332.0,-0.020513338187053993,0.3989227852279099,0.3176235878402967,0.250882024715256,0,0.0,37,1,1.0,0.5880312931687999,0.4708708032891412,0.3813457203568814,0.66,-0.6075,0.07166666666666667,-1.6,0.8632994493858535,418925.22,592555.32,489962.82,-63414.58648035308,31771.0,0,-0.0,0.0,-0.10701884590345605,-0.060105198635760186,-0.3609924665595361,-0.8385866049863143,-0.19631231406225144,0.03999392602446541,0.6399159905059914,-0.2214412088417479,-0.28623262586586967,-0.25491248143818235,-0.180142258772103,-1.0259086048726842,-1.0100382312875251,0.49594492528054945,400.0,20.0,12.06
Narino,2008,1222.1006136887777,-0.5873965572122728,25583.0,30220.0,0.13452553437136186,0.3989227852279099,0.3176235878402967,0.250882024715256,0,0.0,38,0,1.0,0.5880312931687999,0.4708708032891412,0.3813457203568814,-0.23,-0.7816666666666666,-0.6075,-1.64,0.8465585704831238,992389.64,418925.22,592555.32,-125336.95825917608,31265.0,0,-0.0,0.0,-0.2991869485899562,-0.10701884590345605,-0.4273152186150353,-0.3609924665595361,0.0986810849332705,-0.19631231406225144,0.49734917533820694,-0.20927369409057364,-0.2214412088417479,-0.24322240326673308,-0.25491248143818235,-0.8445341919309396,-1.0259086048726842,0.3961764287910454,402.80490000000003,20.07,12.59
Narino,2008,1222.1006136887777,-1.0046303992026644,25583.0,30220.0,0.13452553437136186,0.3989227852279099,0.3176235878402967,0.250882024715256,0,0.0,38,0,1.0,0.5880312931687999,0.4708708032891412,0.3813457203568814,-0.23,-0.7816666666666666,-0.6075,-1.64,0.8465585704831238,992389.64,418925.22,592555.32,-125336.95825917608,31265.0,0,-0.0,0.0,-0.2991869485899562,-0.10701884590345605,-0.4273152186150353,-0.3609924665595361,0.0986810849332705,-0.19631231406225144,0.49734917533820694,-0.20927369409057364,-0.2214412088417479,-0.24322240326673308,-0.25491248143818235,-0.8445341919309396,-1.0259086048726842,0.3961764287910454,402.80490000000003,20.07,12.59
Narino,2009,1038.6519061472777,-0.018137297953018106,26467.0,31591.0,0.16358227088079838,0.3989227852279099,0.3176235878402967,0.250882024715256,0,0.0,39,4,0.0,0.5880312931687999,0.4708708032891412,0.3813457203568814,1.56,0.2816666666666667,-0.7816666666666666,-0.85,0.8378019056060271,619372.63,992389.64,418925.22,-973123.6921640092,27490.0,0,-0.0,0.0,-0.98058630697113,-0.2991869485899562,-0.9633314010365223,-0.4273152186150353,0.1489928391998557,0.0986810849332705,0.31351008293400917,-0.5983082896025987,-0.20927369409057364,-0.7282234015670619,-0.24322240326673308,-1.601336155540141,-0.8445341919309396,0.6184407564599421,411.27840000000003,20.28,11.98
Narino,2009,1038.6519061472777,0.6969825040231079,26467.0,31591.0,0.16358227088079838,0.3989227852279099,0.3176235878402967,0.250882024715256,0,0.0,39,4,0.0,0.5880312931687999,0.4708708032891412,0.3813457203568814,1.56,0.2816666666666667,-0.7816666666666666,-0.85,0.8378019056060271,619372.63,992389.64,418925.22,-973123.6921640092,27490.0,0,-0.0,0.0,-0.98058630697113,-0.2991869485899562,-0.9633314010365223,-0.4273152186150353,0.1489928391998557,0.0986810849332705,0.31351008293400917,-0.5983082896025987,-0.20927369409057364,-0.7282234015670619,-0.24322240326673308,-1.601336155540141,-0.8445341919309396,0.6184407564599421,411.27840000000003,20.28,11.98
Narino,2010,1046.3711392835871,-0.6109329968777466,23506.0,31971.0,-0.16852350157139864,0.3989227852279099,0.3176235878402967,0.250882024715256,0,0.0,41,1,4.0,0.5880312931687999,0.4708708032891412,0.3813457203568814,1.5,-0.47500000000000003,0.2816666666666667,-1.64,0.7352288011009978,813140.14,619372.63,992389.64,-59852.0959324121,24596.0,0,-0.0,0.0,-0.0966334207122005,-0.98058630697113,-0.4141844972452943,-0.9633314010365223,-0.3053143774242063,0.1489928391998557,0.3343160992221801,-0.27204409846056704,-0.5983082896025987,-0.11364038541385847,-0.7282234015670619,-1.077147633047893,-1.601336155540141,0.4888370703521054,410.46760000000006,20.26,12.01
Narino,2010,1046.3711392835871,-1.2852755604930195,23506.0,31971.0,-0.16852350157139864,0.3989227852279099,0.3176235878402967,0.250882024715256,0,0.0,41,1,4.0,0.5880312931687999,0.4708708032891412,0.3813457203568814,1.5,-0.47500000000000003,0.2816666666666667,-1.64,0.7352288011009978,813140.14,619372.63,992389.64,-59852.0959324121,24596.0,0,-0.0,0.0,-0.0966334207122005,-0.98058630697113,-0.4141844972452943,-0.9633314010365223,-0.3053143774242063,0.1489928391998557,0.3343160992221801,-0.27204409846056704,-0.5983082896025987,-0.11364038541385847,-0.7282234015670619,-1.077147633047893,-1.601336155540141,0.4888370703521054,410.46760000000006,20.26,12.01
Narino,2011,992.2110035029879,-0.2738362226842028,24265.0,34422.0,0.12922094676876936,0.3989227852279099,0.3176235878402967,0.250882024715256,0,0.0,43,1,1.0,0.5880312931687999,0.4708708032891412,0.3813457203568814,-0.37,-0.775,-0.47500000000000003,-1.31,0.7049270815176341,999140.79,813140.14,619372.63,-47817.95853614691,24076.0,0,-0.0,0.0,-0.058806540452113094,-0.0966334207122005,-0.634887612429453,-0.4141844972452943,0.2667470519155298,-0.3053143774242063,0.7993300742956494,-0.1423157003220121,-0.27204409846056704,-0.1019374436792669,-0.11364038541385847,-1.2262277606711187,-1.077147633047893,0.6017310098190295,384.5521,19.61,12.24
Narino,2011,992.2110035029879,-0.7933400766220373,24265.0,34422.0,0.12922094676876936,0.3989227852279099,0.3176235878402967,0.250882024715256,0,0.0,43,1,1.0,0.5880312931687999,0.4708708032891412,0.3813457203568814,-0.37,-0.775,-0.47500000000000003,-1.31,0.7049270815176341,999140.79,813140.14,619372.63,-47817.95853614691,24076.0,0,-0.0,0.0,-0.058806540452113094,-0.0966334207122005,-0.634887612429453,-0.4141844972452943,0.2667470519155298,-0.3053143774242063,0.7993300742956494,-0.1423157003220121,-0.27204409846056704,-0.1019374436792669,-0.11364038541385847,-1.2262277606711187,-1.077147633047893,0.6017310098190295,384.5521,19.61,12.24
Narino,2012,1009.7817096414572,-0.2621572809231232,27807.0,36995.0,0.11029466774955939,0.3989227852279099,0.3176235878402967,0.250882024715256,0,0.0,43,3,1.0,0.5880312931687999,0.4708708032891412,0.3813457203568814,0.41,-0.06333333333333334,-0.775,-0.72,0.751642113799162,382672.19,999140.79,813140.14,-576792.1110704585,28079.0,1,-0.5772881227984482,0.15,-0.5772881227984482,-0.058806540452113094,-0.862523336851281,-0.634887612429453,0.3530002754830546,0.2667470519155298,0.4684643323370621,-0.36227039472222483,-0.1423157003220121,-0.3706278721530915,-0.1019374436792669,-1.4147150912480646,-1.2262277606711187,0.6289559195114108,415.75210000000004,20.39,12.08
